record_id,value
1,-2.426398564
2,-1.707418092
3,-2.066837385
4,-1.81849562
5,-1.694319817
6,-1.673076843
7,-1.606891032
8,-1.459848443
9,-1.387892333
10,-1.463442603
11,-1.512696064
12,-1.45922616
13,-1.361575436
14,-1.226860313
15,-1.32461612
16,-1.341360254
17,-1.171702437
18,-1.291166287
19,-1.222937511
20,-1.16930368
21,-1.163931216
22,-1.165110346
23,-1.153394394
24,-1.159329303
25,-1.146753411
26,-1.136442037
27,-1.139689968
28,-1.1342614
29,-1.115673581
30,-1.119555153
31,-1.107963427
32,-1.111353894
33,-1.079921222
34,-1.098745314
35,-1.044775423
36,-1.039000314
37,-1.044069624
38,-1.036897646
39,-1.075788365
40,-1.030904304
41,-1.001716658
42,-0.999627683
43,-0.987974354
44,-0.981140711
45,-0.978292575
46,-0.954044182
47,-0.967334153
48,-0.968026346
49,-0.94678766
50,-0.952319174
51,-0.941843774
52,-0.946236959
53,-0.915663023
54,-0.919429922
55,-0.909852464
56,-0.912602994
57,-0.86769516
58,-0.892020344
59,-0.861126742
60,-0.85388835
61,-0.850173428
62,-0.842834593
63,-0.805033574
64,-0.827488381
65,-0.790737358
66,-0.804681433
67,-0.790170474
68,-0.785344178
69,-0.785544323
70,-0.787992197
71,-0.77725835
72,-0.783976485
73,-0.743239176
74,-0.771642172
75,-0.755890273
76,-0.760727114
77,-0.742635863
78,-0.740309318
79,-0.713597694
80,-0.725755136
81,-0.727720026
82,-0.70778824
83,-0.703668073
84,-0.707083128
85,-0.702605399
86,-0.702352209
87,-0.698770139
88,-0.686734911
89,-0.698877277
90,-0.693482702
91,-0.696045555
92,-0.681522875
93,-0.677333633
94,-0.668379989
95,-0.667944864
96,-0.666664414
97,-0.663935419
98,-0.662207337
99,-0.649684538
100,-0.652033964
101,-0.657670406
102,-0.647353387
103,-0.643152936
104,-0.643051649
105,-0.614282947
106,-0.618242799
107,-0.600631211
108,-0.615835287
109,-0.606369536
110,-0.592171907
111,-0.600573648
112,-0.588764457
113,-0.575001748
114,-0.575198542
115,-0.580495277
116,-0.568473135
117,-0.567331821
118,-0.571640348
119,-0.571456756
120,-0.551226903
121,-0.56246549
122,-0.546201438
123,-0.551431361
124,-0.543668317
125,-0.540016816
126,-0.541402299
127,-0.537691112
128,-0.532471668
129,-0.530898146
130,-0.526940674
131,-0.525549623
132,-0.525435212
133,-0.516662351
134,-0.525693877
135,-0.517390677
136,-0.511886091
137,-0.502558619
138,-0.503230105
139,-0.499716425
140,-0.511504194
141,-0.494554695
142,-0.496613399
143,-0.488069764
144,-0.491337424
145,-0.48224149
146,-0.484877839
147,-0.486229289
148,-0.45013039
149,-0.479353545
150,-0.452773334
151,-0.464733058
152,-0.445322682
153,-0.439503451
154,-0.437848527
155,-0.447576862
156,-0.438189169
157,-0.437679636
158,-0.437311719
159,-0.427837874
160,-0.427178127
161,-0.429953323
162,-0.424564964
163,-0.425580722
164,-0.419459503
165,-0.416075062
166,-0.418836627
167,-0.417568812
168,-0.411057136
169,-0.415433325
170,-0.415155319
171,-0.408239252
172,-0.414020401
173,-0.410558916
174,-0.404355298
175,-0.395859825
176,-0.389367034
177,-0.387600529
178,-0.374116912
179,-0.386698168
180,-0.385620641
181,-0.373880435
182,-0.372135366
183,-0.384644251
184,-0.365291208
185,-0.36206635
186,-0.360090301
187,-0.360972248
188,-0.355838084
189,-0.35977259
190,-0.349915195
191,-0.359049743
192,-0.352742338
193,-0.348814957
194,-0.34955532
195,-0.345772766
196,-0.345494302
197,-0.34876626
198,-0.346266149
199,-0.330025159
200,-0.332082374
201,-0.330511846
202,-0.329350175
203,-0.310754664
204,-0.319349195
205,-0.315817582
206,-0.309510922
207,-0.301651673
208,-0.306419474
209,-0.301146921
210,-0.303185111
211,-0.300064068
212,-0.304198767
213,-0.291890865
214,-0.287502404
215,-0.282848704
216,-0.282543559
217,-0.286911622
218,-0.281083855
219,-0.28526665
220,-0.275026505
221,-0.271934192
222,-0.274290989
223,-0.272464659
224,-0.270950512
225,-0.262427874
226,-0.266336237
227,-0.257638086
228,-0.258277333
229,-0.233011801
230,-0.239643739
231,-0.22511881
232,-0.23150555
233,-0.231485811
234,-0.225233698
235,-0.230363737
236,-0.223155846
237,-0.22340136
238,-0.224972889
239,-0.210649095
240,-0.222403448
241,-0.207447412
242,-0.207898271
243,-0.207092061
244,-0.197310803
245,-0.20691791
246,-0.206483753
247,-0.202006708
248,-0.195940671
249,-0.189892472
250,-0.193311941
251,-0.189056443
252,-0.185311197
253,-0.188358882
254,-0.181308417
255,-0.183276379
256,-0.179342468
257,-0.179684318
258,-0.174558704
259,-0.178531956
260,-0.172274214
261,-0.167306161
262,-0.17499213
263,-0.174039085
264,-0.165073522
265,-0.165679657
266,-0.166383337
267,-0.164937053
268,-0.148466713
269,-0.152375802
270,-0.145630195
271,-0.162525931
272,-0.144568947
273,-0.162383828
274,-0.130886963
275,-0.141584414
276,-0.134014611
277,-0.125191935
278,-0.127502006
279,-0.125178281
280,-0.123151779
281,-0.115938735
282,-0.11433774
283,-0.11126861
284,-0.110587815
285,-0.113613643
286,-0.103065092
287,-0.110069151
288,-0.10609186
289,-0.109336797
290,-0.10077712
291,-0.098360513
292,-0.095153536
293,-0.088165714
294,-0.083862838
295,-0.087158368
296,-0.086161406
297,-0.081809996
298,-0.065270617
299,-0.071689157
300,-0.064881379
301,-0.067143756
302,-0.059898432
303,-0.060460265
304,-0.057531131
305,-0.054528109
306,-0.054105144
307,-0.049028449
308,-0.054257497
309,-0.05345757
310,-0.042552862
311,-0.047557548
312,-0.035449928
313,-0.044962304
314,-0.037749351
315,-0.034960863
316,-0.034978312
317,-0.034435474
318,-0.03313614
319,-0.031774139
320,-0.033034278
321,-0.030635678
322,-0.02856975
323,-0.030406417
324,-0.02850875
325,-0.028761421
326,-0.027641323
327,-0.017907639
328,-0.028507814
329,-0.021363676
330,-0.01019402
331,-0.010529115
332,-0.00913344
333,-0.016060895
334,-0.00892245
335,0.002373792
336,0.002690262
337,-0.008326168
